"stop_id","stop_lat","stop_long","stop_name","stop_suburb","stop_type"
"T-183  ","-37.7386742400","145.0005220000","Preston Railway Station                                               ","Preston                                           ","T   "
"T-184  ","-37.7455621200","145.0001550000","Bell Railway Station                                                  ","Preston                                           ","T   "
"T-185  ","-37.7550517900","144.9985715000","Thornbury Railway Station                                             ","Thornbury                                         ","T   "
"T-186  ","-37.7641010000","144.9970562000","Croxton Railway Station                                               ","Northcote                                         ","T   "
"T-187  ","-37.7698653700","144.9952772000","Northcote Railway Station                                             ","Northcote                                         ","T   "
"T-188  ","-37.7778466800","144.9929725000","Merri Railway Station                                                 ","Northcote                                         ","T   "
"T-189  ","-37.7832171100","144.9924071000","Rushall Railway Station                                               ","Fitzroy North                                     ","T   "
"T-19   ","-37.8110540600","144.9729109000","Parliament Railway Station                                            ","Melbourne                                         ","T   "
"T-190  ","-37.7885363300","144.8328782000","Sunshine Railway Station                                              ","Sunshine                                          ","T   "
"T-191  ","-37.7992509000","144.8629449000","Tottenham Railway Station                                             ","West Footscray                                    ","T   "
"T-192  ","-37.8018026600","144.8839848000","West Footscray Railway Station                                        ","West Footscray                                    ","T   "
"T-193  ","-37.8025047000","144.8914721000","Middle Footscray Railway Station                                      ","Footscray                                         ","T   "
"T-194  ","-37.8010829800","144.9031992000","Footscray Railway Station                                             ","Footscray                                         ","T   "
"T-195  ","-37.7995308700","144.9254690000","South Kensington Railway Station                                      ","Kensington                                        ","T   "
"T-196  ","-37.7872019200","144.9075887000","Flemington Racecourse Railway Station                                 ","Flemington                                        ","T   "
"T-197  ","-37.6830492600","144.9196132000","Broadmeadows Railway Station                                          ","Broadmeadows                                      ","T   "
"T-198  ","-37.6951307900","144.9158505000","Jacana Railway Station                                                ","Glenroy                                           ","T   "
"T-199  ","-37.7045363300","144.9172204000","Glenroy Railway Station                                               ","Glenroy                                           ","T   "
"T-2    ","-37.6270165100","144.7199224000","Diggers Rest Railway Station                                          ","Diggers Rest                                      ","T   "
"T-20   ","-37.9091021000","145.3552913000","Belgrave Railway Station                                              ","Belgrave                                          ","T   "
"T-200  ","-37.7179497300","144.9215188000","Oak Park Railway Station                                              ","Oak Park                                          ","T   "
"T-201  ","-37.7307559600","144.9281956000","Pascoe Vale Railway Station                                           ","Pascoe Vale                                       ","T   "
"T-202  ","-37.7435913200","144.9273157000","Strathmore Railway Station                                            ","Strathmore                                        ","T   "
"T-203  ","-37.7472098500","144.9209387000","Glenbervie Railway Station                                            ","Essendon                                          ","T   "
"T-204  ","-37.7560117000","144.9161975000","Essendon Railway Station                                              ","Essendon                                          ","T   "
"T-205  ","-37.7657066600","144.9191607000","Moonee Ponds Railway Station                                          ","Moonee Ponds                                      ","T   "
"T-206  ","-37.7753060900","144.9218207000","Ascot Vale Railway Station                                            ","Ascot Vale                                        ","T   "
"T-207  ","-37.7873276700","144.9289785000","Newmarket Railway Station                                             ","Flemington                                        ","T   "
"T-208  ","-37.7937802200","144.9305244000","Kensington Railway Station                                            ","Kensington                                        ","T   "
"T-209  ","-37.8192216500","145.1214289000","Box Hill Railway Station                                              ","Box Hill                                          ","T   "
"T-21   ","-37.9081184900","145.3429946000","Tecoma Railway Station                                                ","Tecoma                                            ","T   "
"T-210  ","-37.8179364300","144.9514112000","Southern Cross Railway Station                                        ","Melbourne                                         ","T   "
"T-211  ","-37.6382312100","144.9354037000","Roxburgh Park Railway Station                                         ","Roxburgh Park                                     ","T   "
"T-212  ","-37.6018169000","144.9433203000","Craigieburn Railway Station                                           ","Craigieburn                                       ","T   "
"T-213  ","-37.6610025300","144.9260556000","Coolaroo Railway Station                                              ","Coolaroo                                          ","T   "
"T-214  ","-38.0573411800","145.2492751000","Lynbrook Railway Station                                              ","Lynbrook                                          ","T   "
"T-215  ","-38.0712904700","145.4377910000","Cardinia Road Railway Station                                         ","Pakenham                                          ","T   "
"T-216  ","-37.6491588000","145.0670324000","South Morang Railway Station                                          ","South Morang                                      ","T   "
"T-217  ","-37.8698653300","144.7474447000","Williams Landing Railway Station                                      ","Williams Landing                                  ","T   "
"T-218  ","-37.9587557100","145.0491209000","Southland Railway Station                                             ","Cheltenham                                        ","T   "
"T-219  ","-37.6440613000","145.0921440000","Middle Gorge Railway Station                                          ","South Morang                                      ","T   "
"T-22   ","-37.9036909700","145.3313334000","Upwey Railway Station                                                 ","Upwey                                             ","T   "
"T-220  ","-37.6229945500","145.0973962000","Hawkstowe Railway Station                                             ","South Morang                                      ","T   "
"T-221  ","-37.6025479700","145.1008850000","Mernda Railway Station                                                ","Mernda                                            ","T   "
"T-23   ","-37.8683203900","145.0796557000","Alamein Railway Station                                               ","Ashburton                                         ","T   "
"T-24   ","-37.8619675300","145.0813438000","Ashburton Railway Station                                             ","Ashburton                                         ","T   "
"T-25   ","-37.8515632800","145.0805111000","Burwood Railway Station                                               ","Glen Iris                                         ","T   "
"T-26   ","-37.8439845700","145.0755596000","Hartwell Railway Station                                              ","Camberwell                                        ","T   "
"T-27   ","-37.8357156500","145.0702976000","Willison Railway Station                                              ","Camberwell                                        ","T   "
"T-28   ","-37.8315054300","145.0696460000","Riversdale Railway Station                                            ","Camberwell                                        ","T   "
"T-29   ","-37.8265671400","145.0586972000","Camberwell Railway Station                                            ","Camberwell                                        ","T   "
